"ID","Category"
3,"Cat7"
4,"Cat10"
5,"Cat13"
7,"Cat13"
13,"Cat3"
14,"Cat5"
16,"Cat13"
22,"Cat3"
23,"Cat9"
26,"Cat8"
35,"Cat9"
36,"Cat3"
43,"Cat12"
52,"Cat5"
55,"Cat4"
57,"Cat6"
59,"Cat5"
63,"Cat12"
65,"Cat5"
68,"Cat12"
69,"Cat5"
80,"Cat5"
82,"Cat9"
92,"Cat1"
95,"Cat8"
98,"Cat12"
99,"Cat12"
100,"Cat5"
106,"Cat12"
107,"Cat12"
113,"Cat5"
114,"Cat5"
115,"Cat13"
118,"Cat8"
123,"Cat10"
134,"Cat9"
136,"Cat12"
137,"Cat5"
138,"Cat3"
146,"Cat9"
152,"Cat5"
153,"Cat13"
156,"Cat3"
164,"Cat5"
165,"Cat5"
167,"Cat13"
175,"Cat8"
181,"Cat12"
184,"Cat12"
185,"Cat9"
193,"Cat2"
194,"Cat12"
198,"Cat5"
201,"Cat12"
205,"Cat1"
212,"Cat12"
214,"Cat11"
218,"Cat7"
220,"Cat8"
222,"Cat13"
229,"Cat3"
246,"Cat8"
