"ID","Category"
3,"Cat7"
4,"Cat10"
5,"Cat13"
7,"Cat13"
13,"Cat3"
14,"Cat5"
16,"Cat12"
22,"Cat1"
23,"Cat13"
26,"Cat8"
35,"Cat9"
36,"Cat3"
43,"Cat12"
52,"Cat9"
55,"Cat5"
57,"Cat6"
59,"Cat5"
63,"Cat12"
65,"Cat5"
68,"Cat12"
69,"Cat5"
80,"Cat13"
82,"Cat9"
92,"Cat8"
95,"Cat8"
98,"Cat9"
99,"Cat12"
100,"Cat5"
106,"Cat12"
107,"Cat3"
113,"Cat5"
114,"Cat4"
115,"Cat13"
118,"Cat8"
123,"Cat10"
134,"Cat5"
136,"Cat12"
137,"Cat12"
138,"Cat8"
146,"Cat9"
152,"Cat5"
153,"Cat13"
156,"Cat7"
164,"Cat5"
165,"Cat5"
167,"Cat13"
175,"Cat8"
181,"Cat12"
184,"Cat12"
185,"Cat9"
193,"Cat2"
194,"Cat12"
198,"Cat5"
201,"Cat12"
205,"Cat1"
212,"Cat12"
214,"Cat11"
218,"Cat4"
220,"Cat10"
222,"Cat13"
229,"Cat3"
246,"Cat8"
