ID,Category,Style,
3,Cat7,Cat7,TRUE
4,Cat10,Cat2,FALSE
5,Cat13,Cat3,FALSE
7,Cat13,Cat13,TRUE
13,Cat3,Cat3,TRUE
14,Cat5,Cat7,FALSE
16,Cat13,Cat11,FALSE
22,Cat3,Cat1,FALSE
23,Cat9,Cat13,FALSE
26,Cat8,Cat3,FALSE
35,Cat9,Cat9,TRUE
36,Cat3,Cat3,TRUE
43,Cat12,Cat9,FALSE
52,Cat5,Cat5,TRUE
55,Cat4,Cat12,FALSE
57,Cat6,Cat6,TRUE
59,Cat5,Cat5,TRUE
63,Cat12,Cat12,TRUE
65,Cat5,Cat4,FALSE
68,Cat12,Cat12,TRUE
69,Cat5,Cat5,TRUE
80,Cat5,Cat13,FALSE
82,Cat9,Cat2,FALSE
92,Cat1,Cat6,FALSE
95,Cat8,Cat3,FALSE
98,Cat12,Cat12,TRUE
99,Cat12,Cat12,TRUE
100,Cat5,Cat12,FALSE
106,Cat12,Cat12,TRUE
107,Cat12,Cat12,TRUE
113,Cat5,Cat4,FALSE
114,Cat5,Cat4,FALSE
115,Cat13,Cat2,FALSE
118,Cat8,Cat3,FALSE
123,Cat10,Cat6,FALSE
134,Cat9,Cat5,FALSE
136,Cat12,Cat12,TRUE
137,Cat5,Cat5,TRUE
138,Cat3,Cat6,FALSE
146,Cat9,Cat14,FALSE
152,Cat5,Cat5,TRUE
153,Cat13,Cat13,TRUE
156,Cat3,Cat4,FALSE
164,Cat5,Cat4,FALSE
165,Cat5,Cat5,TRUE
167,Cat13,Cat13,TRUE
175,Cat8,Cat13,FALSE
181,Cat12,Cat12,TRUE
184,Cat12,Cat12,TRUE
185,Cat9,Cat13,FALSE
193,Cat2,Cat2,TRUE
194,Cat12,Cat12,TRUE
198,Cat5,Cat8,FALSE
201,Cat12,Cat12,TRUE
205,Cat1,Cat12,FALSE
212,Cat12,Cat4,FALSE
214,Cat11,Cat7,FALSE
218,Cat7,Cat7,TRUE
220,Cat8,Cat10,FALSE
222,Cat13,Cat13,TRUE
229,Cat3,Cat3,TRUE
246,Cat8,Cat10,FALSE
,,,0.467741935
