imageID,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,Cat8,Cat9,Cat10,Cat11,Cat12,Cat13,Cat14,max,,Style,
3,0.099054905,0.016873052,0.117400932,0.039493707,0.024531287,0.148498162,0.220949364,0.05808636,0.005128047,0.081426147,0.147449806,0.010507386,0.008273874,0.022326971,0.220949364,Cat7,Cat7,TRUE
4,0.096740116,0.01551687,0.099665881,0.043428684,0.026838788,0.125811347,0.25510846,0.053264306,0.005308668,0.082816285,0.148266417,0.011019875,0.012606098,0.023608208,0.25510846,Cat7,Cat2,FALSE
5,0.014947778,0.146745448,0.377475852,0.004027184,0.008030387,0.049491549,0.004528932,0.009285771,0.023414093,0.004551051,0.003809877,0.051790871,0.224241077,0.077660129,0.377475852,Cat3,Cat3,TRUE
7,0.02857576,0.124194337,0.030853238,0.004431252,0.024260664,0.046098063,0.010155958,0.010190038,0.004486853,0.00498895,0.022587324,0.004775989,0.676679225,0.00772235,0.676679225,Cat13,Cat13,TRUE
13,0.029702396,0.174291743,0.272732192,0.004618206,0.020757642,0.009748004,0.005898202,0.024485162,0.148635655,0.005755694,0.008225961,0.00559419,0.056780912,0.232774041,0.272732192,Cat3,Cat3,TRUE
14,0.080965595,0.094212938,0.022209508,0.020955948,0.602881757,0.021717995,0.009477432,0.029829162,0.024624565,0.006797551,0.006138438,0.020592903,0.034448661,0.025147546,0.602881757,Cat5,Cat7,FALSE
16,0.113209239,0.074560283,0.088629738,0.017073401,0.037417623,0.282431637,0.014140113,0.040551485,0.119160731,0.018372436,0.015431423,0.042720043,0.075985493,0.060316355,0.282431637,Cat6,Cat11,FALSE
22,0.208142088,0.04454775,0.109031446,0.009894183,0.095608855,0.033730814,0.032696388,0.046533772,0.014579055,0.01531721,0.130679869,0.013621758,0.230382661,0.015234152,0.230382661,Cat13,Cat1,FALSE
23,0.058489002,0.22922186,0.167825027,0.013337165,0.12168878,0.114531487,0.009741293,0.026609734,0.061966121,0.01915257,0.021037266,0.014643161,0.073914883,0.06784165,0.22922186,Cat2,Cat13,FALSE
26,0.050499377,0.009855051,0.125371623,0.009271323,0.012724356,0.021732111,0.037976728,0.53814769,0.002827426,0.066931737,0.062637187,0.005158387,0.051455499,0.005411505,0.53814769,Cat8,Cat3,FALSE
35,0.011021493,0.022944205,0.044388068,0.003210435,0.004917565,0.121418932,0.003039117,0.017504745,0.695290624,0.003692883,0.00228461,0.011814865,0.01217804,0.046294419,0.695290624,Cat9,Cat9,TRUE
36,0.023873916,0.097240131,0.406960152,0.040951011,0.073089477,0.090658535,0.028412851,0.030176976,0.007742832,0.00616122,0.00601628,0.019945882,0.09177298,0.076997757,0.406960152,Cat3,Cat3,TRUE
43,0.019585298,0.042472735,0.119046602,0.008985259,0.014555802,0.108630917,0.023292792,0.02076063,0.033480042,0.005874898,0.008058813,0.54886501,0.008017118,0.038374083,0.54886501,Cat12,Cat9,FALSE
52,0.017179616,0.065938754,0.024227588,0.022378224,0.299999628,0.066180508,0.007795231,0.027633134,0.155023888,0.005951697,0.004321024,0.015943884,0.016401362,0.271025461,0.299999628,Cat5,Cat5,TRUE
55,0.032016389,0.022724776,0.137977251,0.194871934,0.316958551,0.030157403,0.008409237,0.118878977,0.012615503,0.016354798,0.006763255,0.048964639,0.040274805,0.013032482,0.316958551,Cat5,Cat12,FALSE
57,0.130973931,0.076830395,0.159687148,0.057270116,0.032887992,0.338902921,0.01137244,0.039323851,0.016526801,0.011661486,0.011528181,0.029015616,0.025048302,0.058970821,0.338902921,Cat6,Cat6,TRUE
59,0.040382321,0.031567203,0.064883811,0.02179736,0.381290932,0.009550236,0.011381428,0.196355278,0.088378062,0.007728413,0.005693707,0.01696817,0.017618051,0.10640503,0.381290932,Cat5,Cat5,TRUE
63,0.007942532,0.004846306,0.034923593,0.003271465,0.004433753,0.025405455,0.002864564,0.012568315,0.009367149,0.002007839,0.001888313,0.697297274,0.00893041,0.184253033,0.697297274,Cat12,Cat12,TRUE
65,0.070750469,0.011193922,0.049255839,0.202041185,0.382642416,0.043294304,0.039402901,0.066825106,0.01415864,0.0067121,0.005488988,0.081248395,0.011311141,0.015674591,0.382642416,Cat5,Cat4,FALSE
68,0.037118064,0.012672662,0.045095466,0.002066306,0.003219056,0.046585789,0.001887519,0.012735924,0.135901937,0.002202282,0.001585572,0.589318696,0.003975787,0.105634942,0.589318696,Cat12,Cat12,TRUE
69,0.031756815,0.009618095,0.026905662,0.015889353,0.805335167,0.009717813,0.007075992,0.016276201,0.007847772,0.006732682,0.009606232,0.011795095,0.035769472,0.005673649,0.805335167,Cat5,Cat5,TRUE
80,0.073566621,0.06864098,0.131267547,0.029916061,0.348315713,0.014670621,0.036386591,0.085579377,0.008084902,0.013142026,0.009563312,0.010155631,0.147511753,0.023198864,0.348315713,Cat5,Cat13,FALSE
82,0.041232341,0.146724927,0.139294241,0.006736643,0.031978118,0.0515671,0.007393008,0.034513578,0.209851089,0.008891877,0.005720677,0.006390679,0.036154872,0.273550849,0.273550849,Cat14,Cat2,FALSE
92,0.052786938,0.035458814,0.119511433,0.009181267,0.027704385,0.009718304,0.039122051,0.260979759,0.00693518,0.070732413,0.028981334,0.007704595,0.314862076,0.01632145,0.314862076,Cat13,Cat6,FALSE
95,0.058838348,0.011025761,0.02943888,0.011880511,0.013331382,0.014482652,0.052926491,0.594692958,0.003135733,0.101604992,0.077599239,0.00419324,0.021586056,0.005263757,0.594692958,Cat8,Cat3,FALSE
98,0.06191353,0.060252241,0.231780018,0.036128132,0.024557472,0.22678328,0.016688076,0.043481517,0.074205044,0.015028605,0.010780899,0.089031388,0.036551406,0.072818391,0.231780018,Cat3,Cat12,FALSE
99,0.009406693,0.003692344,0.071849994,0.004613858,0.00545231,0.029863899,0.003053879,0.011197125,0.007096334,0.002821355,0.00169454,0.66275109,0.013488149,0.17301843,0.66275109,Cat12,Cat12,TRUE
100,0.029869848,0.025074309,0.035800096,0.043636453,0.383178279,0.225339204,0.008735788,0.016522822,0.018824743,0.005431485,0.004096973,0.046496667,0.070472495,0.086520837,0.383178279,Cat5,Cat12,FALSE
106,0.050467154,0.008451741,0.059079456,0.007870138,0.010343049,0.06437271,0.009955633,0.011692725,0.008005149,0.002449026,0.002167466,0.728311731,0.004145457,0.032688565,0.728311731,Cat12,Cat12,TRUE
107,0.03605948,0.010184397,0.053814624,0.008526965,0.004995795,0.064166029,0.011928637,0.007746963,0.0066688,0.002798525,0.003648587,0.750738295,0.005342518,0.033380385,0.750738295,Cat12,Cat12,TRUE
113,0.112089457,0.021230791,0.119305095,0.120003553,0.365668854,0.035153367,0.065784508,0.028468445,0.006476759,0.005632799,0.004486195,0.03169061,0.020231356,0.06377821,0.365668854,Cat5,Cat4,FALSE
