imageID,range0,range1,range2,range3,range4,range5,range6,range7,range8,range9,range10,range11,range12,range13,range14,range15,range16,range17,range18,range19,range20,range21,range22,range23,range24,range25,range26,range27,range28,range29,range30,range31,range32,range33,range34,range35,range36,range37,range38,range39,range40,range41,range42,range43,range44,range45,range46,range47,range48,range49,range50,range51,range52,range53,range54,range55,range56,range57,range58,range59,range60,range61,range62,range63,grayscale,contrast
1,0.15804484304932737,0,0,0,0,0.17256203288490285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27585650224215247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16868759342301942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2248490284005979,134.30259999999998,209.558
10,0.2825020720588952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17412120325678904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16048299286561682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18663156355126517,119.3222,215.47299999999996
100,0.2778018018018018,0.24424024024024024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2338978978978979,0,0,0,0,0.11765765765765766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12640240240240241,127.62359999999998,210.667
101,0,0.16585040420689115,0.32542186641550896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17688172043010753,0,0,0.2746566203594694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057189388588022916,129.41459999999998,177.32999999999998
102,0.15768131065428362,0,0,0,0,0,0.14790984034227278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1339823993878048,0,0,0,0,0.20703120108525513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3533952485303837,145.536,194.83799999999997
103,0.143003223495702,0,0,0,0,0,0.199679441260745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16086855300859598,0.2318409742120344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26460780802292266,133.0808,194.434
104,0.31343333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18004583333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11670416666666666,131.101,182.80399999999997
105,0.04327067669172932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11587719298245613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5367460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1268671679197995,130.7446,193.96099999999998
106,0.11742131979695432,0.3125736040609137,0,0,0,0,0.28318781725888326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23538578680203046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051431472081218274,105.41399999999999,171.7
107,0,0.16235403726708075,0,0,0,0,0.28795652173913044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05726708074534161,0.19881366459627328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2936086956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.4488,155.62300000000002
108,0,0.16960131753850965,0,0,0,0,0.30271375791695987,0.2296822464618031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22535479709125028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07264788099147705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.405,141.426
109,0.2243873475116053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151287379898521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16401273885350318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3065016733239771,0,0,0,0,0.1538108604123934,135.67159999999998,192.41699999999997
11,0.4175384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12596068376068376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1334188034188034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19937094017094018,0,0,0,0.1237111111111111,132.74079999999998,228.26199999999997
110,0.22292444699798908,0,0,0,0,0.26325050272910083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22242171789715598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19771617351335824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09368715886239587,124.027,187.461
111,0.22933629472164288,0.21038223969196213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20095409513877746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21154038986042034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14778698058719716,122.9442,209.22899999999998
112,0.216069270106927,0,0,0,0,0.245278940027894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1631450488145049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2007577870757787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1747489539748954,130.4248,188.40200000000002
113,0.15899085365853657,0,0,0,0,0.18414443597560975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32444169207317075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21803467987804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11438833841463415,139.7926,188.771
114,0,0.1303183183183183,0,0,0,0.2821246246246246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2858063063063063,0,0,0,0.2011921921921922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10055855855855855,125.8288,174.02200000000005
