imageID,range0,range1,range2,range3,range4,range5,range6,range7,range8,range9,range10,range11,range12,range13,range14,range15,range16,range17,range18,range19,range20,range21,range22,range23,range24,range25,range26,range27,range28,range29,range30,range31,range32,range33,range34,range35,range36,range37,range38,range39,range40,range41,range42,range43,range44,range45,range46,range47,range48,range49,range50,range51,range52,range53,range54,range55,range56,range57,range58,range59,range60,range61,range62,range63,grayscale,contrast
1,0.1327742899850523,0.11961136023916293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16531838565022422,0,0,0,0,0.2097219730941704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15218535127055308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22038863976083706,129.0915,214.928
10,0.2029415110591065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1258186664066436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1524027757463475,0,0,0,0,0.1423723855492175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17249605902523849,114.0095,222.473
100,0.26503303303303305,0.22577177177177177,0,0.05724924924924925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21221621621621622,0,0,0,0,0.11412612612612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1256036036036036,123.57966666666668,211.08
101,0,0.15173063338827408,0.28411820108311747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175123616670591,0.17418177537085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1698650027470371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04498077074013029,131.1625,189.465
102,0.12338376987025636,0,0.12745486799540853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11003791436223868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05489025705241921,0,0,0,0,0,0,0,0,0,0.21162753487077812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3726056558488991,134.65316666666666,200.849
103,0.12434992836676217,0,0,0,0,0,0.16529548710601719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122621776504298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15133416905444125,0.1826611747851003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2537374641833811,133.25549999999998,199.114
104,0.1397125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13500416666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18551666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11562083333333334,121.10133333333333,187.80399999999997
105,0.039193817878028406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1027109440267335,0.12650375939849623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4143734335839599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993483709273183,134.98466666666667,201.189
106,0.08076142131979695,0.24862944162436548,0,0,0,0.22588832487309646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22019289340101522,0,0,0,0.17552284263959392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04900507614213198,102.49099999999999,176.722
107,0,0.12450310559006211,0.22857142857142856,0,0,0,0.2136086956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12240993788819876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1156024844720497,0,0,0,0,0.19530434782608697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.09833333333331,169.879
108,0,0.14071907498631636,0,0,0,0.24476600985221675,0.1874609039017906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19844446399249355,0,0,0,0,0.17469847134256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05391107592462272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.4105,151.864
109,0.12575569469934147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1729461297635755,0,0,0,0,0.12908884810536544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16081453092950448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13970905754075352,128.66833333333332,205.23199999999997
11,0.2876017094017094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08827179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13278119658119658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12143076923076923,119.5428333333333,235.96299999999997
110,0.15853921286986497,0.19768026429187016,0,0,0,0.1923656995116346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2014686871588624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16365627693191612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08628985923585177,118.39816666666668,195.76
111,0.18294260388256056,0.1769763757420183,0,0,0,0.15055200144392747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17808438953954758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17669310524626985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13475152414567623,118.78499999999998,215.24
112,0.16177591817759182,0.18233844723384474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14843328684332868,0,0.13998837749883775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19696652719665272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17049744304974432,122.80316666666666,193.723
113,0.09824885670731708,0,0,0,0,0.12298628048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1833033536585366,0,0,0,0.30170541158536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1913643292682927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10239176829268293,131.55533333333332,201.84199999999998
114,0.09155405405405405,0,0,0,0,0.20076576576576577,0.2859429429429429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21336036036036035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126493993993994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08188288288288288,125.93249999999999,185.435
115,0.18454502257068187,0,0,0,0,0.09339114595707611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13045458145244318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1630632771046171,0,0,0,0,0,0.18391145957076108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24463451334442068,114.52499999999999,196.86100000000002
116,0.1762176664832141,0.17941088791047513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15788674096496055,0,0,0,0,0.18956384149697303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19644331315354982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10047754999082738,118.92783333333334,187.57999999999998
