"id",""
"3","Cat5"
"4","Cat5"
"5","Cat12"
"7","Cat8"
"13","Cat3"
"14","Cat13"
"16","Cat2"
"22","Cat13"
"23","Cat3"
"26","Cat8"
"35","Cat12"
"36","Cat3"
"43","Cat12"
"52","Cat12"
"55","Cat3"
"57","Cat3"
"59","Cat8"
"63","Cat3"
"65","Cat8"
"68","Cat12"
"69","Cat3"
"80","Cat13"
"82","Cat12"
"92","Cat8"
"95","Cat8"
"98","Cat3"
"99","Cat3"
"100","Cat5"
"106","Cat3"
"107","Cat3"
"113","Cat8"
"114","Cat3"
"115","Cat12"
"118","Cat8"
"123","Cat5"
"134","Cat3"
"136","Cat3"
"137","Cat3"
"138","Cat8"
"146","Cat3"
"152","Cat12"
"153","Cat8"
"156","Cat5"
"164","Cat5"
"165","Cat5"
"167","Cat13"
"175","Cat8"
"181","Cat3"
"184","Cat12"
"185","Cat13"
"193","Cat8"
"194","Cat12"
"198","Cat8"
"201","Cat5"
"205","Cat5"
"212","Cat8"
"214","Cat5"
"218","Cat12"
"220","Cat8"
"222","Cat5"
"229","Cat13"
"246","Cat8"
