id,,Style,
3,Cat5,Cat7,FALSE
4,Cat2,Cat2,TRUE
5,Cat12,Cat3,FALSE
7,Cat13,Cat13,TRUE
13,Cat12,Cat3,FALSE
14,Cat5,Cat7,FALSE
16,Cat12,Cat11,FALSE
22,Cat5,Cat1,FALSE
23,Cat12,Cat13,FALSE
26,Cat10,Cat3,FALSE
35,Cat12,Cat9,FALSE
36,Cat13,Cat3,FALSE
43,Cat3,Cat9,FALSE
52,Cat12,Cat5,FALSE
55,Cat13,Cat12,FALSE
57,Cat5,Cat6,FALSE
59,Cat12,Cat5,FALSE
63,Cat12,Cat12,TRUE
65,Cat12,Cat4,FALSE
68,Cat12,Cat12,TRUE
69,Cat5,Cat5,TRUE
80,Cat13,Cat13,TRUE
82,Cat12,Cat2,FALSE
92,Cat5,Cat6,FALSE
95,Cat8,Cat3,FALSE
98,Cat12,Cat12,TRUE
99,Cat12,Cat12,TRUE
100,Cat5,Cat12,FALSE
106,Cat12,Cat12,TRUE
107,Cat12,Cat12,TRUE
113,Cat13,Cat4,FALSE
114,Cat5,Cat4,FALSE
115,Cat8,Cat2,FALSE
118,Cat10,Cat3,FALSE
123,Cat5,Cat6,FALSE
134,Cat12,Cat5,FALSE
136,Cat12,Cat12,TRUE
137,Cat12,Cat5,FALSE
138,Cat5,Cat6,FALSE
146,Cat12,Cat14,FALSE
152,Cat2,Cat5,FALSE
153,Cat5,Cat13,FALSE
156,Cat5,Cat4,FALSE
164,Cat8,Cat4,FALSE
165,Cat13,Cat5,FALSE
167,Cat13,Cat13,TRUE
175,Cat13,Cat13,TRUE
181,Cat12,Cat12,TRUE
184,Cat12,Cat12,TRUE
185,Cat12,Cat13,FALSE
193,Cat5,Cat2,FALSE
194,Cat12,Cat12,TRUE
198,Cat5,Cat8,FALSE
201,Cat12,Cat12,TRUE
205,Cat5,Cat12,FALSE
212,Cat12,Cat4,FALSE
214,Cat5,Cat7,FALSE
218,Cat3,Cat7,FALSE
220,Cat8,Cat10,FALSE
222,Cat5,Cat13,FALSE
229,Cat12,Cat3,FALSE
246,Cat8,Cat10,FALSE
,,,0.274193548
