"id",""
"3","Cat5"
"4","Cat8"
"5","Cat12"
"7","Cat13"
"13","Cat12"
"14","Cat13"
"16","Cat12"
"22","Cat2"
"23","Cat12"
"26","Cat2"
"35","Cat12"
"36","Cat13"
"43","Cat12"
"52","Cat12"
"55","Cat12"
"57","Cat12"
"59","Cat12"
"63","Cat12"
"65","Cat12"
"68","Cat12"
"69","Cat13"
"80","Cat12"
"82","Cat12"
"92","Cat2"
"95","Cat5"
"98","Cat12"
"99","Cat12"
"100","Cat3"
"106","Cat12"
"107","Cat12"
"113","Cat8"
"114","Cat13"
"115","Cat12"
"118","Cat2"
"123","Cat8"
"134","Cat12"
"136","Cat12"
"137","Cat12"
"138","Cat2"
"146","Cat12"
"152","Cat12"
"153","Cat8"
"156","Cat2"
"164","Cat12"
"165","Cat13"
"167","Cat13"
"175","Cat13"
"181","Cat12"
"184","Cat12"
"185","Cat8"
"193","Cat12"
"194","Cat12"
"198","Cat8"
"201","Cat12"
"205","Cat2"
"212","Cat12"
"214","Cat8"
"218","Cat12"
"220","Cat5"
"222","Cat2"
"229","Cat13"
"246","Cat5"
