"imageID","range0","range1","range2","range3","range4","range5","range6","range7","range8","range9","range10","range11","range12","range13","range14","range15","range16","range17","range18","range19","range20","range21","range22","range23","range24","range25","range26","range27","range28","range29","range30","range31","range32","range33","range34","range35","range36","range37","range38","range39","range40","range41","range42","range43","range44","range45","range46","range47","range48","range49","range50","range51","range52","range53","range54","range55","range56","range57","range58","range59","range60","range61","range62","range63","grayscale","contrast","Style"
3,0,0.0582740740740741,0,0,0,0,0,0,0,0,0,0.20857037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30117037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367566666666667,150.9524,163.178,"Cat7"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103524366471735,0,0,0,0,0.133099415204678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19366081871345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134877192982456,0,0,0,0,0.43483820662768,160.07,159.832,"Cat2"
5,0.294519865487607,0.185346867604932,0,0.0896437912566945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189126914933367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241362560717399,106.6126,199.294,"Cat3"
7,0.199418439716312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735035460992908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562212765957447,136.1454,209.985,"Cat13"
13,0.228667518092805,0,0.0624861643252448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25753370228466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218413509294735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232899106002554,115.4376,199.989,"Cat3"
14,0.415122112211221,0,0,0,0,0.202811881188119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139663366336634,0.120214521452145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122188118811881,137.217,182.277,"Cat7"
16,0.275342222222222,0,0,0,0,0,0,0,0,0,0.222243555555556,0,0,0,0,0,0,0,0,0,0.261667555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109109333333333,0,0,0,0,0.131637333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.2128,172.106,"Cat11"
22,0.17144498707268,0,0.0972955226330693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119793162884229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233885993351664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377580334058358,128.4164,183.672,"Cat1"
23,0.243770833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142633333333333,0,0,0,0,0.147779166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256329166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2094875,110.4064,173.402,"Cat13"
26,0,0.171977699530516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102541813380282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132885856807512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357332012910798,150.1344,190.207,"Cat3"
